strategy,strategy_label,concurrency,run_id,throughput,p99,median_latency,avg_latency,latency_stddev,latency_cv,errors,warmup_ops_per_client,measured_ops_per_client
thread_local,ThreadLocal,300,12,151141.58777855284,10618.0,1501.0,1884.666611111111,2306.888043726184,1.2240297727597302,0,100,900
thread_local,ThreadLocal,300,13,55338.13608384399,43432.0,2966.0,5323.8290777777775,8259.906182054621,1.551497251580134,0,100,900
thread_local,ThreadLocal,300,14,89794.84371514582,32355.0,1780.0,3209.202962962963,6696.2716316324595,2.08658402379449,0,100,900
thread_local,ThreadLocal,300,15,55267.287660391135,39759.0,3079.0,5293.276118518518,7859.0748645939075,1.4847279243754066,0,100,900
thread_local,ThreadLocal,300,16,74796.12342773181,33707.0,2145.0,3806.8587814814814,6433.797608639311,1.6900541832380573,0,100,900
thread_local,ThreadLocal,300,17,63248.96214602322,38337.0,2666.0,4587.078159259259,7191.834603092496,1.5678465361605836,0,100,900
thread_local,ThreadLocal,300,18,36390.51326948898,71484.0,3577.0,8097.994340740741,13627.970388317328,1.6828821822899358,0,100,900
thread_local,ThreadLocal,300,19,65435.967588474654,39838.0,2597.0,4554.3893148148145,7188.649650992204,1.5784003417556984,0,100,900
thread_local,ThreadLocal,300,20,58648.28252984688,42374.0,2718.0,4961.274585185185,7671.926301058013,1.5463619618972673,0,100,900
thread_local,ThreadLocal,300,21,101850.65468752077,22993.0,1874.0,2860.3144,4973.481734221646,1.7387884822107826,0,100,900
thread_local,ThreadLocal,300,22,61031.21620962212,40923.0,2816.0,4874.4905407407405,7760.9548469697775,1.5921571253660496,0,100,900
thread_local,ThreadLocal,300,23,98345.77847558762,20312.0,1843.0,2951.8762444444446,3999.4992868827485,1.354900732850835,0,100,900
thread_local,ThreadLocal,300,24,63446.70897955103,36345.0,2712.0,4614.826951851852,7083.85989181842,1.5350217821224665,0,100,900
thread_local,ThreadLocal,300,25,54476.66170319579,46272.0,3069.0,5413.544151851852,8433.372609575115,1.5578283603155334,0,100,900
thread_local,ThreadLocal,300,26,52088.19063749329,50441.0,2933.0,5726.686411111111,9815.979605734292,1.7140766755953314,0,100,900
thread_local,ThreadLocal,300,27,60192.27977012089,35985.0,2843.0,4852.43412962963,6646.924564025017,1.3698124253635886,0,100,900
thread_local,ThreadLocal,300,28,113605.69105605537,17515.0,1691.0,2559.7039814814816,4194.196547397594,1.6385474952342405,0,100,900
thread_local,ThreadLocal,300,29,54492.521115915006,45839.0,2828.0,5282.812640740741,8262.606919972939,1.564054506921597,0,100,900
thread_local,ThreadLocal,300,30,133301.9278599263,13579.0,1600.0,2189.1248074074074,2981.4390337037694,1.3619319572896824,0,100,900
thread_local,ThreadLocal,400,1,49101.71034900601,77130.0,3682.0,8099.451266666667,14217.656168548367,1.755385111959523,0,100,900
thread_local,ThreadLocal,400,2,45216.99991517102,71779.0,4016.0,8775.913283333333,14010.018657902785,1.5964171711347397,0,100,900
thread_local,ThreadLocal,400,3,80643.73562686279,48596.0,2567.0,4819.975155555556,9088.265102911231,1.88554189795688,0,100,900
thread_local,ThreadLocal,400,4,52098.87273415807,65126.0,3769.0,7482.779275,11813.966313248013,1.5788206332262837,0,100,900
thread_local,ThreadLocal,400,5,52594.659518666354,61458.0,3575.0,7404.123844444444,11858.690224052187,1.601633153793092,0,100,900
thread_local,ThreadLocal,400,6,78667.39330747239,48019.0,2740.0,4962.701658333333,8893.025706530778,1.7919726630347952,0,100,900
thread_local,ThreadLocal,400,7,51363.94183154864,59407.0,3813.0,7534.505316666667,11261.924444605711,1.4947131857076037,0,100,900
thread_local,ThreadLocal,400,8,44052.10897637443,69647.0,3938.0,8867.927775,13843.247362961552,1.5610464715316823,0,100,900
thread_local,ThreadLocal,400,9,86219.25943553542,39490.0,2514.0,4484.812538888889,7728.56231996721,1.7232743292949226,0,100,900
thread_local,ThreadLocal,400,10,56826.642808421624,58162.0,3497.0,6830.669958333333,10989.794365864747,1.6088896744977899,0,100,900
thread_local,ThreadLocal,400,11,81198.12267026276,46634.0,2558.0,4799.463733333333,9168.195707626246,1.9102541902652805,0,100,900
thread_local,ThreadLocal,400,12,46449.21252779131,71485.0,4336.0,8541.717252777778,13271.45909615577,1.5537225950484221,0,100,900
thread_local,ThreadLocal,400,13,43074.31324772587,77905.0,4271.0,9076.454452777778,15035.585313766353,1.6565483132199081,0,100,900
thread_local,ThreadLocal,400,14,68549.60368332254,57859.0,2842.0,5698.716525,10407.478026092644,1.8262845643287449,0,100,900
thread_local,ThreadLocal,400,15,47709.36383024647,66404.0,3922.0,8196.321863888888,12802.325540595,1.56195983432509,0,100,900
